description,polarity,subjectivity,polarity2,subjectivity2
"[('rolled', 'updated', 'micro'), ('updated', 'micro', 'community'), ('micro', 'community', 'policing'), ('community', 'policing', 'plan'), ('policing', 'plan', 'crime'), ('plan', 'crime', 'data'), ('crime', 'data', 'neighborhood'), ('data', 'neighborhood', 'agency'), ('neighborhood', 'agency', 'released'), ('agency', 'released', 'crime')]",0.0,0.0,neutral,objective
"[('several', 'detective', 'king'), ('detective', 'king', 'county'), ('king', 'county', 'site'), ('county', 'site', 'early'), ('site', 'early', 'childhood'), ('early', 'childhood', 'university'), ('childhood', 'university', 'district')]",0.07500000000000001,0.22499999999999998,negative,objective
"[('international', 'district', 'id'), ('district', 'id', 'long'), ('id', 'long', 'known'), ('long', 'known', 'asian'), ('known', 'asian', 'case'), ('asian', 'case', 'study'), ('case', 'study', 'conducted'), ('study', 'conducted', '1999'), ('conducted', '1999', 'described')]",-0.021428571428571432,0.17142857142857146,negative,objective
"[('detailed', 'federal', 'complaint'), ('federal', 'complaint', 'jacob'), ('complaint', 'jacob', 'esparza'), ('jacob', 'esparza', 'fired'), ('esparza', 'fired', 'bellingham'), ('fired', 'bellingham', '2016'), ('bellingham', '2016', 'arrested'), ('2016', 'arrested', 'connection')]",-0.12499999999999999,0.33749999999999997,negative,objective
"[('gribble', 'action', 'quickly'), ('action', 'quickly', 'drew'), ('quickly', 'drew', 'scrutiny'), ('drew', 'scrutiny', 'king'), ('scrutiny', 'king', 'county'), ('king', 'county', 'even'), ('county', 'even', 'history'), ('even', 'history', 'violence'), ('history', 'violence', 'time'), ('violence', 'time', 'investigation'), ('time', 'investigation', 'found')]",0.21666666666666667,0.3,positive,objective
"[('kirkland', 'finished', 'investigation'), ('finished', 'investigation', 'menchie'), ('investigation', 'menchie', 'incident'), ('menchie', 'incident', 'calling'), ('incident', 'calling', 'white'), ('calling', 'white', 'supremacist'), ('white', 'supremacist', 'area')]",0.0,0.0,neutral,objective
"[('metropolitan', 'nashville', 'sunday'), ('nashville', 'sunday', 'jan'), ('sunday', 'jan', '13'), ('jan', '13', '2019'), ('13', '2019', 'photo'), ('2019', 'photo', 'provided'), ('photo', 'provided', 'metropolitan'), ('provided', 'metropolitan', 'nashville'), ('metropolitan', 'nashville', 'metropolitan'), ('nashville', 'metropolitan', 'nashville')]",0.0,0.0,neutral,objective
"[('petersburg', 'morning', 'investigation'), ('morning', 'investigation', 'matter'), ('investigation', 'matter', 'ongoing'), ('matter', 'ongoing', 'report'), ('ongoing', 'report', '2018'), ('report', '2018', '020363')]",0.0,0.0,neutral,objective
"[('compared', 'mere', '1'), ('mere', '1', 'percent'), ('1', 'percent', 'citywide'), ('percent', 'citywide', 'rise'), ('citywide', 'rise', 'report'), ('rise', 'report', 'time'), ('report', 'time', 'told'), ('time', 'told', 'go'), ('told', 'go', 'kid'), ('go', 'kid', 'glove'), ('kid', 'glove', 'come')]",-0.5,0.5,negative,subjective
"[('recent', 'spree', 'violent'), ('spree', 'violent', 'crime'), ('violent', 'crime', 'university'), ('crime', 'university', 'district'), ('university', 'district', 'according'), ('district', 'according', 'university'), ('according', 'university', 'washington'), ('university', 'washington', 'keep')]",-0.6000000000000001,0.8125,negative,subjective
"[('camden', 'arrest', 'warrant'), ('arrest', 'warrant', 'issued'), ('warrant', 'issued', 'joshua'), ('issued', 'joshua', 'emery'), ('joshua', 'emery', 'noel'), ('emery', 'noel', 'assault'), ('noel', 'assault', 'battery'), ('assault', 'battery', 'second'), ('battery', 'second', 'degree'), ('second', 'degree', 'received'), ('degree', 'received', 'several'), ('received', 'several', 'tip')]",-0.014285714285714287,0.0,negative,objective
"[('video', 'made', 'partnership'), ('made', 'partnership', 'federal'), ('partnership', 'federal', 'way'), ('federal', 'way', 'originally'), ('way', 'originally', 'intended'), ('originally', 'intended', 'shown'), ('intended', 'shown', 'student'), ('shown', 'student', 'kindergarten'), ('student', 'kindergarten', 'fifth'), ('kindergarten', 'fifth', 'grade')]",0.375,0.75,positive,subjective
"[('specific', 'criminal', 'allegation'), ('criminal', 'allegation', 'mylett'), ('allegation', 'mylett', 'made'), ('mylett', 'made', 'public'), ('made', 'public', 'investigation'), ('public', 'investigation', 'handled'), ('investigation', 'handled', 'bothell'), ('handled', 'bothell', 'crime')]",-0.13333333333333333,0.23750000000000002,negative,objective
"[('28', 'year', 'service'), ('year', 'service', 'municipal'), ('service', 'municipal', 'court'), ('municipal', 'court', 'judge'), ('court', 'judge', 'c'), ('judge', 'c', 'kimi'), ('c', 'kimi', 'formulating'), ('kimi', 'formulating', 'revised'), ('formulating', 'revised', 'training'), ('revised', 'training', 'protocol')]",0.0,0.0,neutral,objective
"[('microsoft', 'job', 'required'), ('job', 'required', 'josh'), ('required', 'josh', 'powell'), ('josh', 'powell', 'commute'), ('powell', 'commute', 'south'), ('commute', 'south', 'hill'), ('south', 'hill', 'bellevue'), ('hill', 'bellevue', 'took'), ('bellevue', 'took', 'sounder'), ('took', 'sounder', 'train'), ('sounder', 'train', 'puyallup'), ('train', 'puyallup', 'used'), ('puyallup', 'used', 'shuttle')]",0.0,0.0,neutral,objective
"[('undated', 'clark', 'county'), ('clark', 'county', 'detention'), ('county', 'detention', 'center'), ('detention', 'center', 'clark'), ('center', 'clark', 'county'), ('clark', 'county', 'detention'), ('county', 'detention', 'center'), ('detention', 'center', 'la'), ('center', 'la', 'vega'), ('la', 'vega', 'metropolitan'), ('vega', 'metropolitan', 'via'), ('metropolitan', 'via', 'ap')]",-0.09999999999999999,0.09999999999999999,negative,objective
"[('photo', 'courtesy', 'layoff'), ('courtesy', 'layoff', 'todd'), ('layoff', 'todd', 'herman'), ('todd', 'herman', 'todd'), ('herman', 'todd', 'herman'), ('todd', 'herman', 'show'), ('herman', 'show', 'note'), ('show', 'note', '7'), ('note', '7', '9'), ('7', '9', '2021'), ('9', '2021', 'interim'), ('2021', 'interim', 'chief'), ('interim', 'chief', 'adrian'), ('chief', 'adrian', 'diaz')]",0.0,0.0,neutral,objective
